fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10,label
0.18,0.05,0.06,0.08,0.08,0.03,0.03,0.05,0.07,0.05,0
0.14,0.07,0.06,0.09,0.08,0.06,0.01,0.03,0.04,0.03,0
0.36,0.47,0.39,0.98,1.75,1.53,1.65,1.33,1.03,1.2,2
0.61,0.91,0.63,0.56,0.45,1.67,2.84,1.79,1.66,1.24,2
1.77,1.01,0.43,0.68,0.45,0.47,0.22,1.21,1.68,1.09,2
0.6,0.96,1.13,0.36,0.59,0.6,1.51,0.7,1.43,0.63,2
0.42,0.22,0.74,1.05,0.99,1.73,2.25,0.87,1.7,2.52,2
0.4,0.57,0.41,0.82,1.01,0.5,1.14,1.95,1.45,0.14,2
0.09,0.31,0.38,1.29,1.52,0.37,1.53,1.27,0.28,0.99,2
0.41,0.67,0.83,1.71,1.75,1.28,2.29,1.52,0.54,1.27,2
1.11,0.24,0.28,0.8,0.56,0.89,1.87,0.96,0.84,1.18,2
1.29,0.72,0.96,0.95,0.42,0.49,1.18,1.01,2.18,1.93,2
0.78,0.5,0.48,0.15,0.31,0.54,1.1,0.63,0.92,1.15,2
0.94,0.46,0.79,0.87,0.77,0.81,1.78,2.16,2.15,1.42,2
0.21,0.2,0.14,0.44,0.86,1.43,1.44,1.23,0.85,1.36,2
1.2,0.52,1.08,1.11,1.31,0.81,0.66,0.99,1.45,0.66,2
0.53,0.55,0.55,0.92,1.09,0.61,0.75,1.1,1.77,0.8,2
1.25,0.84,0.86,1.4,1.89,1.25,1.11,0.92,1.05,0.25,2
0.52,1.15,1.14,0.32,0.95,0.1,1.6,1.25,0.43,1.15,2
1.07,0.8,0.64,0.76,0.72,0.77,2.05,3.42,2.3,0.82,2
0.22,0.7,0.35,0.39,0.55,0.8,1.58,2.73,2.62,1.91,2
0.62,0.37,0.08,0.6,1.45,0.34,0.89,1.09,1.31,0.26,2
0.04,0.36,0.32,0.75,0.68,0.64,1.72,1.02,1.35,1.38,2
0.76,1.0,1.31,0.91,1.03,0.99,0.92,1.24,1.17,0.31,2
0.24,1.03,1.24,0.73,0.16,0.4,0.14,0.59,1.06,1.27,2
0.68,0.58,1.12,1.22,0.98,0.88,2.1,3.26,2.58,1.04,2
0.29,0.12,0.72,1.87,1.99,0.9,0.63,1.06,1.65,1.28,2
0.24,0.41,0.2,0.51,0.34,0.63,0.72,1.29,1.21,0.79,2
0.32,0.55,0.84,0.65,1.88,2.49,2.08,1.84,0.66,0.56,2
0.49,0.33,1.21,0.49,0.43,1.38,1.42,0.08,0.35,0.4,2
0.21,0.99,2.19,1.79,0.97,0.36,0.73,1.42,1.43,0.7,2
0.13,0.91,1.04,0.74,0.8,1.44,0.85,0.86,0.75,0.96,2
0.6,0.57,0.44,1.3,1.51,0.7,0.6,0.25,0.93,1.77,2
0.11,0.92,1.24,1.6,1.73,0.78,1.15,1.66,0.72,0.99,2
0.74,1.31,0.94,1.01,1.43,0.71,0.53,1.3,1.73,0.82,2
0.26,0.52,0.88,0.17,1.18,0.68,1.42,0.63,1.6,1.19,2
0.59,0.76,0.55,0.57,0.9,0.45,1.33,2.28,1.25,0.49,2
0.44,0.32,1.32,2.08,1.49,0.5,0.15,1.58,2.12,1.3,2
0.31,0.36,1.42,1.82,0.62,0.49,1.03,1.94,0.81,0.65,2
0.35,0.47,0.97,1.45,0.96,0.32,0.76,0.87,1.16,0.87,2
0.54,0.71,1.46,0.73,0.97,0.62,1.35,1.78,0.51,0.86,2
0.35,0.74,0.91,0.81,0.29,1.55,1.24,0.53,0.46,0.59,2
0.22,0.16,0.45,0.81,0.45,0.18,0.57,1.07,0.94,1.6,2
0.51,0.7,0.33,0.53,0.32,0.53,1.26,0.7,0.28,0.68,2
1.08,0.49,0.64,1.42,1.09,0.56,0.43,0.92,1.42,1.69,2
1.17,0.65,0.41,0.89,0.29,0.73,0.31,1.33,1.22,0.1,2
1.37,0.73,0.89,1.06,0.3,1.03,1.7,0.97,0.72,0.24,2
0.7,0.61,0.79,1.62,1.85,1.19,0.93,0.9,0.51,0.99,2
1.15,1.2,0.83,0.54,0.52,0.36,1.52,1.53,0.77,0.5,2
0.83,0.39,1.11,1.43,1.2,0.35,0.63,0.13,0.22,0.56,2
1.25,0.73,0.52,1.48,2.26,0.88,1.13,2.49,2.72,1.53,2
0.89,0.89,0.41,0.89,1.66,0.62,0.6,1.83,1.58,0.45,2
0.8,1.02,0.59,0.97,1.19,0.57,0.6,0.5,0.5,0.73,2
1.69,1.47,0.58,1.63,2.0,0.82,0.87,2.06,2.29,1.57,2
1.11,1.09,0.78,1.34,1.54,0.75,0.54,1.7,1.99,0.59,2
0.45,0.24,0.44,1.18,1.66,0.96,0.32,0.47,1.27,1.4,2
0.58,0.25,0.48,0.85,1.39,1.82,1.33,0.25,0.51,0.7,2
0.06,0.59,0.64,0.62,0.33,0.55,0.84,1.0,0.59,0.09,2
0.54,0.23,0.78,0.51,1.89,1.29,0.82,0.92,2.18,2.61,2
1.04,0.49,0.29,0.63,1.7,1.69,1.59,1.53,1.55,1.87,2
1.0,1.19,1.53,1.46,1.76,1.9,0.85,1.33,0.64,0.74,2
0.56,0.23,1.48,1.67,0.61,1.81,1.46,1.66,1.81,1.79,2
0.47,1.1,1.42,1.29,2.33,2.77,0.63,1.01,1.61,1.15,2
1.21,0.61,0.23,1.29,1.86,1.42,0.96,0.23,1.52,1.51,2
0.48,0.62,1.22,1.15,0.76,0.42,1.34,1.95,1.42,1.68,2
0.1,0.41,0.75,0.51,0.35,1.13,0.89,0.9,0.71,1.25,2
0.76,0.56,0.21,1.34,2.62,2.42,0.61,2.11,2.3,1.27,2
0.62,0.51,0.32,2.04,2.92,2.08,1.97,0.57,1.36,1.55,2
0.84,0.75,0.98,1.44,1.18,1.54,1.96,1.8,0.87,0.28,2
0.32,0.27,0.21,0.69,1.5,2.07,1.26,1.42,0.22,1.41,2
0.36,0.11,0.56,0.85,1.52,1.29,0.88,1.25,0.01,1.29,2
0.6,0.38,0.96,0.47,2.41,2.53,1.8,0.91,0.81,1.89,2
0.69,0.58,0.36,0.42,1.95,2.63,0.62,2.18,1.3,1.28,2
1.02,0.78,1.4,1.44,1.48,1.21,0.54,0.53,0.11,1.35,2
0.27,0.8,0.72,0.59,0.98,1.58,1.52,1.2,1.09,2.22,2
0.3,0.3,0.79,0.76,1.87,2.24,1.31,1.15,0.72,1.22,2
0.55,0.9,0.71,1.02,1.78,1.6,0.64,0.82,1.48,1.18,2
0.42,0.43,0.23,1.5,1.41,1.35,0.94,0.13,0.09,0.82,2
0.52,0.5,0.43,1.0,0.89,2.21,1.49,0.24,0.94,0.43,2
0.45,0.3,1.11,1.27,0.44,0.73,0.74,0.91,0.59,0.21,2
0.72,0.66,1.11,0.69,1.14,1.42,0.5,0.3,0.31,0.93,2
0.16,0.49,0.57,0.4,0.91,1.67,0.64,0.39,0.82,1.39,2
0.28,0.3,0.68,1.35,2.42,2.5,1.59,1.5,1.01,1.43,2
0.21,0.16,0.33,0.58,1.52,1.96,1.03,0.2,0.05,1.14,2
0.26,0.15,0.44,0.31,1.99,1.65,0.6,1.24,0.94,1.35,2
0.98,0.92,0.69,0.97,0.51,1.88,1.83,1.2,0.98,0.35,2
0.69,0.12,0.63,0.43,2.24,1.97,1.35,0.74,0.59,0.77,2
0.26,0.49,0.65,0.36,1.84,2.35,1.86,2.04,1.35,1.72,2
0.51,0.18,0.86,0.92,0.27,1.23,1.85,1.38,0.55,1.7,2
0.57,0.28,0.47,0.71,1.15,2.53,2.35,1.18,0.28,0.65,2
0.63,0.09,0.3,0.28,1.07,2.08,0.46,0.33,0.49,0.38,2
0.8,0.15,0.8,1.21,1.67,2.47,1.9,0.21,0.56,0.58,2
0.6,0.66,0.53,0.91,0.52,0.55,1.21,0.75,0.14,0.61,2
0.68,0.6,1.3,0.79,0.6,0.72,0.27,0.84,0.71,0.66,2
0.45,1.4,1.9,1.04,1.04,1.36,1.61,0.8,0.49,0.62,2
0.61,0.72,1.26,0.49,0.37,1.51,2.51,0.94,0.22,0.57,2
0.63,0.52,0.97,1.41,1.74,1.57,0.94,0.93,0.8,0.92,2
0.16,0.78,1.32,0.66,0.99,1.23,0.73,0.3,0.37,0.41,2
0.69,1.43,2.18,2.27,1.83,1.36,1.34,0.65,0.34,0.49,2
1.23,1.03,0.33,1.04,2.27,2.06,0.86,0.62,0.83,0.81,2
0.33,0.27,0.25,1.11,0.95,1.49,2.2,0.82,0.25,0.13,2
0.57,0.27,0.49,1.15,1.37,0.67,0.43,0.2,0.26,0.48,2
1.84,3.94,5.26,2.25,0.58,0.26,1.11,0.25,0.87,0.45,1
1.1,5.22,5.5,1.91,1.06,0.48,0.76,0.4,0.43,0.22,1
2.62,5.18,5.37,1.92,0.4,0.11,0.73,0.63,0.32,0.26,1
0.61,3.56,4.46,1.41,0.34,0.19,0.8,0.4,0.18,0.1,1
2.4,1.93,4.89,1.88,0.72,0.41,0.6,0.44,0.24,0.22,1
1.12,3.15,5.44,2.54,1.42,0.74,0.57,0.6,0.57,0.54,1
1.88,2.91,4.92,2.49,0.43,0.31,0.82,0.86,0.39,0.36,1
1.01,2.72,5.88,3.81,0.97,0.48,0.23,0.68,0.58,0.3,1
1.28,3.02,5.12,2.39,0.71,0.66,1.09,0.84,0.18,0.1,1
1.0,3.35,4.95,1.92,1.14,0.49,0.56,0.8,0.18,0.36,1
0.78,2.38,4.71,2.51,0.16,0.28,0.7,0.23,0.22,0.2,1
0.72,1.66,4.74,2.8,0.75,0.14,1.19,1.29,0.26,0.07,1
1.38,1.78,4.88,3.24,0.54,0.64,0.48,0.45,0.51,0.53,1
0.84,1.63,4.76,4.28,1.4,0.55,0.91,0.91,0.54,0.59,1
1.07,0.78,3.33,4.71,1.62,0.76,1.18,0.79,0.75,0.57,1
0.74,0.89,2.73,4.99,2.2,0.94,0.31,0.26,0.26,0.17,1
1.42,0.91,3.33,5.27,2.37,0.93,1.31,1.02,0.63,0.63,1
1.63,0.5,2.99,5.16,2.53,1.04,1.44,0.64,0.32,0.39,1
1.67,1.85,3.22,4.96,1.98,0.51,0.81,0.47,0.51,0.98,1
0.39,0.73,2.43,5.19,2.66,0.6,1.08,0.49,0.16,0.18,1
1.67,0.27,3.0,5.24,2.63,0.92,0.99,0.72,0.69,0.42,1
1.15,1.14,5.02,5.7,2.28,1.17,0.76,0.44,0.31,0.54,1
1.42,0.59,3.05,4.55,1.93,1.14,0.77,0.47,0.45,0.46,1
1.18,1.04,3.0,5.09,2.29,0.09,0.42,0.18,0.28,0.53,1
0.67,0.35,2.94,5.12,2.39,0.92,1.09,0.78,0.25,0.61,1
1.84,0.4,2.89,5.47,3.24,0.32,0.72,0.9,1.15,0.78,1
1.87,2.97,5.34,4.38,1.44,1.1,1.43,0.79,0.1,0.24,1
1.17,0.88,3.86,2.77,0.52,0.75,0.23,0.26,0.45,0.19,1
1.36,1.3,5.5,4.09,0.88,0.36,0.79,0.62,0.49,0.32,1
1.33,0.43,4.06,3.22,0.66,0.68,0.91,0.7,0.2,0.14,1
2.0,2.12,4.96,2.38,1.13,1.02,0.71,0.41,0.24,0.83,1
0.41,0.44,3.53,4.53,1.74,0.64,0.71,0.64,0.15,0.71,1
3.0,1.94,2.36,5.43,3.22,0.63,0.74,0.81,0.97,0.7,1
2.18,0.86,4.26,2.52,0.46,0.2,0.94,0.77,0.25,0.16,1
1.49,3.94,5.85,2.81,0.07,0.32,0.37,0.72,1.04,1.12,1
0.8,2.71,4.72,1.75,0.6,0.77,0.91,0.44,0.3,0.2,1
2.1,2.97,4.67,2.48,0.58,0.58,0.45,0.35,0.86,0.97,1
1.42,2.67,4.56,1.47,0.52,0.74,1.23,0.82,0.43,0.38,1
2.1,6.44,5.63,0.65,0.88,1.09,0.63,0.39,0.56,0.33,1
2.96,5.3,4.98,1.43,0.26,0.3,0.75,0.79,0.64,0.85,1
0.67,3.77,2.88,1.07,1.2,0.98,0.87,0.64,0.42,0.45,1
1.54,2.64,3.0,0.47,0.11,0.31,0.8,0.85,0.19,0.09,1
2.22,5.22,5.06,2.63,2.02,1.23,1.08,1.24,0.93,0.33,1
0.85,3.17,5.58,3.02,0.67,1.49,1.43,0.73,0.26,0.49,1
1.39,2.38,4.85,2.26,0.68,0.76,0.35,0.27,0.78,0.63,1
2.6,4.48,5.39,2.34,0.53,0.9,0.91,0.6,0.33,0.28,1
1.55,1.69,6.02,3.6,0.63,0.2,0.83,1.32,0.43,0.31,1
1.11,3.74,4.96,1.37,1.04,0.52,0.69,1.01,0.58,0.16,1
0.65,3.32,4.74,1.95,0.64,0.93,1.25,0.46,0.65,0.28,1
0.24,2.94,5.57,3.05,0.72,0.95,0.62,0.89,0.89,0.49,1
0.55,0.23,0.81,2.91,5.69,2.84,0.4,0.36,0.36,0.32,1
0.99,0.39,1.13,2.58,5.69,2.99,0.92,0.87,0.6,0.48,1
2.91,1.17,0.8,3.8,4.41,1.36,0.31,0.79,0.42,0.42,1
0.91,0.89,0.95,3.94,6.28,3.16,0.9,0.89,1.08,0.64,1
0.88,0.85,0.73,3.04,5.42,2.97,1.14,0.73,0.43,0.79,1
1.28,1.18,0.84,1.89,4.92,2.59,0.64,0.42,0.64,0.62,1
0.64,0.15,1.03,1.88,5.65,4.03,0.62,0.37,0.76,1.0,1
0.8,0.16,0.75,2.17,4.9,3.01,0.56,0.16,0.22,0.27,1
1.59,1.35,1.06,1.37,4.95,3.6,0.87,0.24,0.46,0.59,1
1.11,1.23,1.03,2.11,5.84,4.32,1.27,0.97,0.86,0.48,1
1.15,0.61,0.14,0.37,3.8,4.68,0.82,0.43,0.26,0.5,1
1.01,0.71,1.0,0.36,3.29,5.16,1.95,0.4,0.36,0.15,1
0.65,0.85,1.17,0.99,2.65,5.81,3.05,0.28,0.6,0.77,1
0.65,0.26,0.73,1.52,4.14,5.76,2.43,0.38,0.24,0.15,1
0.7,1.09,1.59,1.1,2.6,5.4,2.79,0.04,0.9,0.94,1
1.44,1.12,0.91,1.12,4.62,5.17,1.63,0.16,0.86,0.79,1
3.74,1.9,0.77,2.06,5.19,3.71,0.85,0.4,0.2,0.06,1
1.6,1.67,1.6,1.78,4.48,3.75,0.84,0.47,0.05,0.42,1
0.66,0.86,1.26,1.32,4.49,4.88,1.05,0.56,0.04,0.26,1
1.29,0.61,0.43,0.74,4.5,4.81,0.82,0.38,0.42,0.44,1
0.55,0.69,0.88,3.9,6.4,3.18,0.63,0.47,0.67,0.2,1
1.31,1.11,0.38,4.78,5.58,1.49,0.2,0.31,0.8,0.33,1
1.56,0.77,1.14,3.8,4.95,1.74,0.74,0.9,1.1,0.78,1
0.25,0.79,0.56,3.18,6.08,3.67,0.74,0.84,0.92,0.47,1
2.31,1.27,0.7,3.32,6.07,3.12,0.37,0.29,0.55,0.88,1
1.16,0.34,0.24,1.25,4.59,5.42,1.76,0.79,1.46,1.13,1
1.24,0.62,0.61,1.78,4.97,4.37,0.79,0.18,0.4,0.67,1
0.8,1.33,0.77,5.23,6.42,2.14,0.23,0.7,0.65,0.98,1
2.6,0.54,0.51,1.92,5.77,4.65,0.45,0.9,0.76,0.18,1
1.45,1.84,1.32,0.06,4.66,4.77,0.92,0.59,1.12,1.04,1
1.07,1.48,0.92,2.28,5.44,3.25,0.29,0.57,0.41,0.73,1
0.93,0.68,0.72,3.78,5.28,1.88,0.4,0.42,0.32,0.35,1
1.42,1.55,1.47,5.91,4.34,0.27,1.1,1.08,0.73,0.11,1
1.98,0.75,0.93,4.59,4.38,1.03,0.58,0.52,0.9,0.58,1
0.85,1.22,0.56,4.57,4.25,0.44,0.1,0.78,0.81,0.26,1
1.26,1.63,1.29,4.71,4.85,1.18,0.53,0.16,0.55,0.81,1
0.21,0.87,1.02,5.11,5.2,1.49,0.93,0.57,0.48,0.75,1
1.16,1.47,0.76,4.26,6.19,2.85,0.83,0.45,0.64,0.09,1
1.31,1.74,1.15,3.02,5.83,3.36,0.83,0.58,0.41,0.26,1
0.78,1.76,1.39,2.85,5.68,2.4,0.65,0.55,0.43,0.45,1
0.12,0.28,0.68,3.96,5.63,2.14,0.43,0.41,0.56,0.26,1
1.13,1.85,2.11,4.62,5.63,1.37,1.14,0.98,0.71,0.35,1
1.75,1.09,0.79,3.87,5.62,1.64,0.91,0.37,0.03,0.57,1
2.55,2.18,1.12,2.35,5.61,3.7,1.2,0.62,1.02,1.11,1
1.25,1.87,0.38,4.83,5.91,1.88,0.14,0.13,0.21,0.69,1
1.75,0.74,0.2,0.83,4.35,3.83,0.3,0.94,0.49,0.44,1
0.42,1.4,0.98,1.96,5.71,4.66,0.76,0.71,0.71,0.13,1
1.32,0.94,1.0,0.8,4.23,5.77,1.82,0.49,1.02,0.61,1
2.22,0.76,1.57,0.64,5.22,4.68,0.54,0.43,0.62,0.57,1
0.55,0.79,0.71,2.69,5.79,3.74,0.37,0.63,0.78,0.62,1
0.18,0.07,0.01,0.06,0.1,0.08,0.07,0.06,0.05,0.03,0
0.21,0.02,0.06,0.04,0.07,0.05,0.05,0.01,0.03,0.04,0
0.11,0.1,0.05,0.03,0.08,0.02,0.04,0.05,0.03,0.01,0
0.17,0.02,0.1,0.05,0.02,0.05,0.03,0.04,0.04,0.01,0
0.19,0.06,0.01,0.04,0.02,0.0,0.02,0.02,0.04,0.04,0
0.19,0.03,0.04,0.01,0.07,0.07,0.12,0.08,0.02,0.04,0
0.19,0.02,0.07,0.02,0.05,0.03,0.01,0.03,0.03,0.01,0
0.18,0.04,0.04,0.03,0.08,0.06,0.03,0.02,0.02,0.04,0
0.18,0.03,0.12,0.03,0.05,0.05,0.06,0.03,0.04,0.04,0
0.22,0.07,0.06,0.04,0.06,0.03,0.04,0.02,0.04,0.01,0
0.13,0.11,0.03,0.05,0.04,0.09,0.08,0.03,0.04,0.04,0
0.19,0.05,0.06,0.07,0.06,0.08,0.02,0.0,0.03,0.03,0
0.18,0.01,0.07,0.03,0.07,0.04,0.04,0.01,0.02,0.04,0
0.15,0.08,0.03,0.05,0.03,0.01,0.06,0.1,0.11,0.07,0
0.1,0.12,0.05,0.05,0.07,0.09,0.03,0.01,0.06,0.04,0
0.13,0.09,0.07,0.01,0.01,0.07,0.1,0.11,0.04,0.02,0
0.15,0.03,0.06,0.05,0.03,0.05,0.02,0.06,0.04,0.04,0
0.13,0.11,0.06,0.0,0.03,0.02,0.02,0.05,0.07,0.05,0
0.05,0.15,0.03,0.03,0.04,0.02,0.05,0.04,0.04,0.06,0
0.17,0.07,0.01,0.02,0.05,0.02,0.04,0.04,0.05,0.05,0
0.14,0.07,0.04,0.03,0.03,0.03,0.03,0.05,0.05,0.07,0
0.17,0.04,0.04,0.03,0.03,0.04,0.07,0.05,0.1,0.07,0
0.12,0.05,0.03,0.07,0.02,0.03,0.04,0.07,0.0,0.05,0
0.09,0.09,0.07,0.04,0.05,0.02,0.02,0.05,0.05,0.04,0
0.13,0.05,0.01,0.08,0.07,0.08,0.05,0.07,0.05,0.03,0
0.22,0.06,0.12,0.09,0.07,0.04,0.06,0.06,0.07,0.06,0
0.15,0.05,0.04,0.05,0.05,0.03,0.05,0.05,0.01,0.04,0
0.17,0.06,0.03,0.06,0.02,0.02,0.04,0.04,0.02,0.04,0
0.13,0.1,0.01,0.04,0.02,0.04,0.05,0.05,0.03,0.02,0
0.18,0.06,0.04,0.02,0.02,0.06,0.02,0.01,0.01,0.04,0
0.15,0.07,0.03,0.08,0.04,0.01,0.03,0.06,0.11,0.06,0
0.13,0.07,0.07,0.07,0.11,0.08,0.05,0.03,0.02,0.05,0
0.13,0.11,0.03,0.02,0.1,0.08,0.07,0.07,0.07,0.05,0
0.16,0.08,0.05,0.11,0.02,0.02,0.02,0.03,0.04,0.04,0
0.15,0.1,0.08,0.01,0.02,0.05,0.03,0.06,0.05,0.03,0
0.18,0.04,0.05,0.04,0.04,0.03,0.01,0.04,0.03,0.02,0
0.15,0.07,0.05,0.01,0.03,0.01,0.01,0.03,0.04,0.06,0
0.21,0.04,0.07,0.04,0.06,0.02,0.04,0.09,0.13,0.1,0
0.22,0.05,0.09,0.05,0.03,0.07,0.04,0.03,0.03,0.04,0
0.13,0.09,0.05,0.02,0.03,0.03,0.02,0.01,0.02,0.04,0
0.08,0.13,0.02,0.08,0.04,0.05,0.06,0.09,0.1,0.06,0
0.14,0.1,0.08,0.07,0.05,0.05,0.04,0.01,0.07,0.09,0
0.22,0.03,0.06,0.03,0.09,0.06,0.06,0.04,0.03,0.05,0
0.17,0.06,0.03,0.01,0.03,0.01,0.03,0.07,0.09,0.06,0
0.15,0.09,0.02,0.03,0.05,0.03,0.04,0.05,0.04,0.03,0
0.19,0.06,0.15,0.1,0.01,0.03,0.05,0.04,0.02,0.05,0
0.18,0.08,0.05,0.03,0.05,0.05,0.03,0.05,0.03,0.03,0
0.17,0.04,0.06,0.03,0.06,0.05,0.02,0.08,0.07,0.01,0
0.1,0.07,0.08,0.05,0.09,0.06,0.04,0.03,0.01,0.03,0
0.17,0.07,0.02,0.11,0.06,0.06,0.04,0.09,0.1,0.13,0
0.16,0.05,0.03,0.05,0.0,0.01,0.03,0.04,0.01,0.04,0
0.18,0.07,0.04,0.01,0.02,0.04,0.05,0.01,0.06,0.06,0
0.13,0.12,0.08,0.03,0.05,0.09,0.08,0.04,0.05,0.08,0
0.21,0.07,0.01,0.04,0.02,0.05,0.04,0.03,0.03,0.03,0
0.12,0.06,0.03,0.05,0.03,0.03,0.04,0.03,0.03,0.07,0
0.15,0.07,0.03,0.02,0.07,0.01,0.03,0.09,0.08,0.05,0
0.13,0.11,0.02,0.04,0.02,0.02,0.03,0.05,0.03,0.09,0
0.11,0.08,0.05,0.04,0.01,0.04,0.06,0.05,0.06,0.06,0
0.15,0.06,0.02,0.04,0.03,0.07,0.08,0.05,0.01,0.01,0
0.18,0.06,0.05,0.05,0.04,0.05,0.08,0.03,0.01,0.01,0
0.16,0.1,0.11,0.05,0.02,0.02,0.09,0.11,0.09,0.01,0
0.15,0.03,0.03,0.05,0.05,0.04,0.02,0.02,0.04,0.05,0
0.19,0.04,0.05,0.02,0.03,0.04,0.03,0.02,0.1,0.08,0
0.19,0.1,0.04,0.05,0.04,0.05,0.04,0.05,0.08,0.07,0
0.15,0.08,0.04,0.06,0.03,0.1,0.09,0.07,0.06,0.04,0
0.18,0.05,0.13,0.04,0.03,0.04,0.01,0.03,0.02,0.01,0
0.15,0.03,0.06,0.03,0.02,0.09,0.08,0.07,0.07,0.06,0
0.16,0.08,0.09,0.04,0.04,0.05,0.06,0.01,0.04,0.01,0
0.04,0.12,0.01,0.07,0.05,0.06,0.04,0.04,0.05,0.03,0
0.18,0.04,0.09,0.02,0.02,0.03,0.05,0.04,0.03,0.05,0
0.15,0.08,0.01,0.02,0.02,0.05,0.01,0.02,0.03,0.04,0
0.14,0.14,0.04,0.04,0.06,0.04,0.06,0.08,0.04,0.04,0
0.18,0.03,0.09,0.02,0.05,0.06,0.04,0.06,0.07,0.06,0
0.1,0.13,0.05,0.04,0.04,0.03,0.05,0.09,0.08,0.03,0
0.19,0.04,0.04,0.03,0.06,0.05,0.06,0.02,0.01,0.02,0
0.15,0.01,0.04,0.08,0.04,0.05,0.07,0.06,0.02,0.04,0
0.14,0.04,0.06,0.01,0.02,0.06,0.04,0.03,0.04,0.07,0
0.12,0.08,0.06,0.01,0.04,0.05,0.06,0.06,0.01,0.04,0
0.16,0.08,0.04,0.04,0.06,0.04,0.05,0.07,0.06,0.05,0
0.19,0.03,0.11,0.06,0.08,0.05,0.05,0.02,0.02,0.01,0
0.19,0.06,0.1,0.02,0.03,0.05,0.05,0.06,0.1,0.12,0
0.13,0.07,0.05,0.03,0.02,0.07,0.04,0.03,0.04,0.07,0
0.17,0.03,0.06,0.02,0.02,0.03,0.09,0.04,0.03,0.06,0
0.18,0.04,0.06,0.0,0.04,0.06,0.03,0.05,0.03,0.02,0
0.07,0.07,0.08,0.01,0.03,0.02,0.04,0.01,0.04,0.07,0
0.16,0.07,0.02,0.03,0.08,0.04,0.02,0.04,0.04,0.05,0
0.13,0.07,0.04,0.02,0.01,0.04,0.01,0.04,0.04,0.02,0
0.19,0.03,0.06,0.03,0.04,0.03,0.01,0.01,0.01,0.05,0
0.12,0.09,0.03,0.01,0.03,0.05,0.06,0.04,0.06,0.07,0
0.19,0.07,0.01,0.01,0.05,0.07,0.09,0.02,0.05,0.05,0
0.12,0.1,0.03,0.02,0.01,0.0,0.04,0.02,0.08,0.1,0
0.12,0.06,0.04,0.05,0.07,0.07,0.03,0.04,0.04,0.03,0
0.07,0.08,0.06,0.05,0.02,0.03,0.06,0.03,0.02,0.02,0
0.16,0.02,0.06,0.02,0.06,0.05,0.05,0.06,0.04,0.03,0
0.09,0.1,0.03,0.05,0.01,0.03,0.05,0.03,0.05,0.04,0
0.15,0.1,0.03,0.02,0.04,0.02,0.05,0.04,0.04,0.07,0
0.15,0.02,0.08,0.04,0.09,0.03,0.04,0.07,0.04,0.06,0
0.19,0.07,0.02,0.03,0.02,0.07,0.07,0.02,0.07,0.09,0
0.17,0.09,0.01,0.02,0.04,0.1,0.09,0.03,0.02,0.02,0
0.14,0.11,0.02,0.05,0.02,0.04,0.06,0.05,0.03,0.01,0
